NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Daily Tide Predictions
StationName: San Diego, San Diego Bay 
State: CA 
Stationid: 9410170
Prediction Type: Harmonic
From: 20200218 05:20 - 20200317 19:40
Units: Feet
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred	High/Low
2020/02/17	Mon	04:14 AM	5.34	H
2020/02/17	Mon	11:54 AM	-0.05	L
2020/02/17	Mon	06:43 PM	3.40	H
2020/02/17	Mon	10:56 PM	2.43	L
2020/02/18	Tue	05:20 AM	5.56	H
2020/02/18	Tue	12:48 PM	-0.52	L
2020/02/18	Tue	07:32 PM	3.76	H
2020/02/19	Wed	12:04 AM	2.28	L
2020/02/19	Wed	06:15 AM	5.80	H
2020/02/19	Wed	01:30 PM	-0.82	L
2020/02/19	Wed	08:06 PM	4.02	H
2020/02/20	Thu	12:54 AM	2.02	L
2020/02/20	Thu	07:00 AM	5.99	H
2020/02/20	Thu	02:05 PM	-0.97	L
2020/02/20	Thu	08:33 PM	4.21	H
2020/02/21	Fri	01:34 AM	1.74	L
2020/02/21	Fri	07:39 AM	6.10	H
2020/02/21	Fri	02:36 PM	-0.98	L
2020/02/21	Fri	08:58 PM	4.35	H
2020/02/22	Sat	02:08 AM	1.50	L
2020/02/22	Sat	08:14 AM	6.10	H
2020/02/22	Sat	03:03 PM	-0.89	L
2020/02/22	Sat	09:21 PM	4.46	H
2020/02/23	Sun	02:41 AM	1.31	L
2020/02/23	Sun	08:46 AM	5.99	H
2020/02/23	Sun	03:29 PM	-0.71	L
2020/02/23	Sun	09:44 PM	4.54	H
2020/02/24	Mon	03:12 AM	1.19	L
2020/02/24	Mon	09:17 AM	5.76	H
2020/02/24	Mon	03:54 PM	-0.45	L
2020/02/24	Mon	10:08 PM	4.61	H
2020/02/25	Tue	03:44 AM	1.13	L
2020/02/25	Tue	09:47 AM	5.42	H
2020/02/25	Tue	04:19 PM	-0.11	L
2020/02/25	Tue	10:33 PM	4.64	H
2020/02/26	Wed	04:18 AM	1.14	L
2020/02/26	Wed	10:18 AM	4.97	H
2020/02/26	Wed	04:42 PM	0.30	L
2020/02/26	Wed	10:59 PM	4.64	H
2020/02/27	Thu	04:55 AM	1.22	L
2020/02/27	Thu	10:50 AM	4.42	H
2020/02/27	Thu	05:04 PM	0.78	L
2020/02/27	Thu	11:26 PM	4.61	H
2020/02/28	Fri	05:38 AM	1.33	L
2020/02/28	Fri	11:26 AM	3.81	H
2020/02/28	Fri	05:23 PM	1.27	L
2020/02/28	Fri	11:56 PM	4.55	H
2020/02/29	Sat	06:34 AM	1.45	L
2020/02/29	Sat	12:17 PM	3.17	H
2020/02/29	Sat	05:39 PM	1.77	L
2020/03/01	Sun	12:34 AM	4.49	H
2020/03/01	Sun	07:57 AM	1.48	L
2020/03/01	Sun	01:57 PM	2.63	H
2020/03/01	Sun	05:50 PM	2.23	L
2020/03/02	Mon	01:33 AM	4.44	H
2020/03/02	Mon	09:45 AM	1.22	L
2020/03/03	Tue	02:59 AM	4.54	H
2020/03/03	Tue	11:10 AM	0.66	L
2020/03/03	Tue	06:48 PM	3.07	H
2020/03/03	Tue	09:51 PM	2.86	L
2020/03/04	Wed	04:21 AM	4.90	H
2020/03/04	Wed	12:04 PM	0.01	L
2020/03/04	Wed	07:02 PM	3.46	H
2020/03/04	Wed	11:15 PM	2.58	L
2020/03/05	Thu	05:24 AM	5.43	H
2020/03/05	Thu	12:46 PM	-0.60	L
2020/03/05	Thu	07:25 PM	3.87	H
2020/03/06	Fri	12:11 AM	2.10	L
2020/03/06	Fri	06:17 AM	6.00	H
2020/03/06	Fri	01:23 PM	-1.10	L
2020/03/06	Fri	07:51 PM	4.29	H
2020/03/07	Sat	12:58 AM	1.53	L
2020/03/07	Sat	07:05 AM	6.48	H
2020/03/07	Sat	01:59 PM	-1.43	L
2020/03/07	Sat	08:20 PM	4.71	H
2020/03/08	Sun	01:42 AM	0.95	L
2020/03/08	Sun	08:50 AM	6.76	H
2020/03/08	Sun	03:35 PM	-1.54	L
2020/03/08	Sun	09:52 PM	5.11	H
2020/03/09	Mon	03:27 AM	0.44	L
2020/03/09	Mon	09:35 AM	6.76	H
2020/03/09	Mon	04:10 PM	-1.40	L
2020/03/09	Mon	10:25 PM	5.46	H
2020/03/10	Tue	04:13 AM	0.06	L
2020/03/10	Tue	10:20 AM	6.46	H
2020/03/10	Tue	04:45 PM	-1.03	L
2020/03/10	Tue	11:00 PM	5.71	H
2020/03/11	Wed	05:01 AM	-0.14	L
2020/03/11	Wed	11:07 AM	5.87	H
2020/03/11	Wed	05:21 PM	-0.45	L
2020/03/11	Wed	11:37 PM	5.82	H
2020/03/12	Thu	05:53 AM	-0.14	L
2020/03/12	Thu	11:58 AM	5.07	H
2020/03/12	Thu	05:57 PM	0.27	L
2020/03/13	Fri	12:18 AM	5.77	H
2020/03/13	Fri	06:52 AM	0.02	L
2020/03/13	Fri	12:57 PM	4.19	H
2020/03/13	Fri	06:35 PM	1.06	L
